State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2021-12-03_03:00:00,2021-12-03_04:00:00,F32,11,32419,33012,689,69,20,1,69,104,1,329
Running,2021-12-03_04:00:00,2021-12-03_05:00:00,F32,11,32406,33034,658,66,13,7,52,132,4,354
Running,2021-12-03_05:00:00,2021-12-03_06:00:00,F32,11,32458,33065,644,87,16,8,63,99,6,328
Running,2021-12-03_06:00:00,2021-12-03_07:00:00,F32,11,32312,32956,703,92,18,4,65,124,8,333
Running,2021-12-03_07:00:00,2021-12-03_08:00:00,F32,11,32411,33050,653,94,24,4,95,137,4,281
Running,2021-12-03_08:00:00,2021-12-03_09:00:00,F32,11,32461,33093,606,105,26,5,52,114,11,319
Running,2021-12-03_09:00:00,2021-12-03_10:00:00,F32,11,32213,32921,703,103,35,0,57,143,5,365
Running,2021-12-03_10:00:00,2021-12-03_11:00:00,F32,11,31928,32891,797,138,25,5,119,168,3,505
Running,2021-12-03_11:00:00,2021-12-03_12:00:00,F32,11,31967,32940,766,178,27,11,73,146,3,535
Running,2021-12-03_12:00:00,2021-12-03_13:00:00,F32,11,31963,32931,737,184,31,13,89,181,2,468
Running,2021-12-03_13:00:00,2021-12-03_14:00:00,F32,11,32100,33056,658,214,21,8,97,151,6,459
Running,2021-12-03_14:00:00,2021-12-03_15:00:00,F32,11,32107,32887,591,193,27,14,112,93,8,333
Running,2021-12-03_15:00:00,2021-12-03_16:00:00,F32,11,32001,32812,602,174,16,14,86,151,6,364
Running,2021-12-03_16:00:00,2021-12-03_16:12:19,F32,11,7099,7285,132,34,6,3,24,33,0,86
Running,2021-12-12_23:48:39,2021-12-12_23:52:18,F32,11,1872,1895,26,4,3,0,7,4,0,5
Running,2021-12-12_23:54:57,2021-12-12_23:55:05,F32,11,38,40,1,0,0,0,0,0,0,2
Running,2021-12-12_23:56:07,2021-12-12_23:58:00,F32,11,973,986,13,7,0,0,3,0,0,3
Running,2021-12-16_18:57:27,2021-12-16_18:57:40,F32,11,81,82,0,1,0,0,0,0,0,0
Running,2021-12-16_19:00:11,2021-12-16_19:03:33,F32,11,1780,1793,9,3,0,0,5,2,0,3
Running,2021-12-16_19:03:47,2021-12-16_19:08:48,F32,11,2687,2705,14,4,0,0,7,3,0,4
Running,2021-12-16_19:09:21,2021-12-16_19:13:22,F32,11,2118,2135,25,4,0,0,9,1,0,3
Running,2021-12-16_19:13:38,2021-12-16_19:24:14,F32,11,5731,5776,23,10,0,0,18,6,0,11
Running,2021-12-16_19:24:33,2021-12-16_19:25:49,F32,11,630,638,3,3,0,0,2,2,0,1
Running,2021-12-16_19:26:07,2021-12-16_19:28:11,F32,11,1060,1068,13,1,0,0,4,2,1,0
Running,2021-12-16_19:28:25,2021-12-16_20:00:00,F32,11,17054,17177,103,36,0,0,45,18,2,22
Running,2021-12-16_20:00:00,2021-12-16_20:15:19,F32,11,8305,8352,47,8,0,0,26,4,0,9
Running,2021-12-16_20:17:17,2021-12-16_21:00:00,F32,11,23080,23262,140,50,0,1,73,21,3,34
Running,2021-12-16_21:00:00,2021-12-16_21:46:38,F32,11,25220,25401,158,36,0,2,69,26,1,47
Running,2021-12-16_21:46:53,2021-12-16_21:48:32,F32,11,873,877,4,1,0,0,3,0,0,0
Running,2021-12-16_21:49:03,2021-12-16_22:00:00,F32,11,5869,5916,45,7,0,1,18,9,1,11
Running,2021-12-16_22:00:00,2021-12-16_23:00:00,F32,11,32218,32414,186,34,0,2,87,26,0,47
Running,2021-12-16_23:00:00,2021-12-16_23:49:04,F32,11,25830,26131,150,38,0,8,80,131,17,27
Running,2021-12-17_13:20:44,2021-12-17_13:21:22,F32,11,279,280,2,0,0,0,0,0,0,1
Running,2021-12-17_13:22:34,2021-12-17_14:00:00,F32,11,19283,19402,119,17,0,3,60,20,0,19
Running,2021-12-17_14:00:00,2021-12-17_15:00:00,F32,11,30786,31073,288,25,0,4,153,28,4,73
Running,2021-12-17_15:00:00,2021-12-17_15:49:18,F32,11,25254,25448,151,15,1,1,107,37,2,31
Line Stopped,2021-12-17_15:49:18,2021-12-17_16:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-12-17_16:00:00,2021-12-17_16:16:36,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2021-12-17_16:16:36,2021-12-17_16:18:58,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-17_16:18:58,2021-12-17_16:18:58,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2021-12-17_16:18:58,2021-12-17_16:18:58,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-17_16:18:58,2021-12-17_17:00:00,F32,11,21146,21313,119,14,1,2,92,24,4,30
Running,2021-12-17_17:00:00,2021-12-17_18:00:00,F32,11,30908,31159,201,18,1,5,161,29,1,36
Running,2021-12-17_18:00:00,2021-12-17_19:00:00,F32,11,30878,31133,187,18,0,2,155,38,3,39
Running,2021-12-17_19:00:00,2021-12-17_19:40:07,F32,11,20556,20727,114,7,1,2,105,22,1,33
Line Stopped,2021-12-17_19:40:07,2021-12-17_20:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-12-17_20:00:00,2021-12-17_21:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-12-17_21:00:00,2021-12-17_22:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-12-17_22:00:00,2021-12-17_22:20:46,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-23_10:30:54,2021-12-23_11:00:00,F32,11,15378,15632,276,7,1,0,48,16,1,181
Running,2021-12-23_11:00:00,2021-12-23_11:47:38,F32,11,25260,25702,448,18,0,3,87,37,1,296
Running,2021-12-23_11:49:28,2021-12-23_11:53:23,F32,11,1961,1979,20,1,0,0,7,1,0,9
Running,2021-12-23_15:01:09,2021-12-23_15:05:00,F32,11,2058,2070,12,0,0,1,5,3,0,3
Running,2021-12-23_15:05:14,2021-12-23_15:05:59,F32,11,393,397,2,1,0,0,0,2,0,1
Running,2021-12-23_15:09:06,2021-12-23_15:11:32,F32,11,1253,1262,20,0,0,0,6,0,1,2
Running,2021-12-23_15:11:47,2021-12-23_15:14:31,F32,11,1410,1421,4,0,1,0,7,1,0,2
Running,2021-12-23_15:14:55,2021-12-23_16:00:00,F32,11,24361,24544,136,11,0,0,108,24,3,37
Running,2021-12-23_16:00:00,2021-12-23_16:19:36,F32,11,10603,10686,73,3,1,0,53,13,0,13
Running,2021-12-23_16:20:01,2021-12-23_17:00:00,F32,11,21640,21787,133,6,2,1,76,22,0,40
Running,2021-12-23_17:00:00,2021-12-23_18:00:00,F32,11,32458,32678,202,12,2,4,122,27,5,48
Running,2021-12-23_18:00:00,2021-12-23_19:00:00,F32,11,32489,32737,183,17,1,2,138,20,1,69
Running,2021-12-23_19:00:00,2021-12-23_20:00:00,F32,11,32424,32712,207,14,1,1,186,32,2,52
Running,2021-12-23_20:00:00,2021-12-23_21:00:00,F32,11,32450,32734,187,12,5,1,171,27,5,63
Running,2021-12-23_21:00:00,2021-12-23_22:00:00,F32,11,32371,32722,197,20,1,2,216,34,2,76
Running,2021-12-23_22:00:00,2021-12-23_23:00:00,F32,11,32379,32706,214,11,2,0,205,32,3,74
Running,2021-12-23_23:00:00,2021-12-24_00:00:00,F32,11,32320,32674,206,27,0,1,203,48,1,74
Running,2021-12-24_00:00:00,2021-12-24_01:00:00,F32,11,32229,32692,228,38,4,2,249,60,3,107
Running,2021-12-24_01:00:00,2021-12-24_02:00:00,F32,11,32196,32693,227,37,6,3,301,55,0,95
Running,2021-12-24_02:00:00,2021-12-24_03:00:00,F32,11,32301,32700,221,41,5,3,204,48,3,95
Running,2021-12-24_03:00:00,2021-12-24_04:00:00,F32,11,32303,32704,215,30,2,1,211,37,0,120
Running,2021-12-24_04:00:00,2021-12-24_05:00:00,F32,11,32346,32686,234,24,2,2,163,33,1,115
Running,2021-12-24_05:00:00,2021-12-24_06:00:00,F32,11,32335,32671,209,14,0,1,173,48,2,98
Running,2021-12-24_06:00:00,2021-12-24_07:00:00,F32,11,32367,32695,225,24,2,1,140,42,2,117
Running,2021-12-24_07:00:00,2021-12-24_08:00:00,F32,11,32314,32709,211,26,2,1,192,54,2,118
Running,2021-12-24_08:00:00,2021-12-24_09:00:00,F32,11,32339,32691,226,24,2,1,150,52,1,122
Running,2021-12-24_09:00:00,2021-12-24_10:00:00,F32,11,32336,32689,228,26,1,1,161,46,0,118
Running,2021-12-24_10:00:00,2021-12-24_11:00:00,F32,11,32282,32669,241,31,1,0,212,43,0,100
Running,2021-12-24_11:00:00,2021-12-24_12:00:00,F32,11,32365,32704,212,27,3,4,167,44,2,92
Running,2021-12-24_12:00:00,2021-12-24_13:00:00,F32,11,32406,32680,232,19,1,4,119,42,0,89
Running,2021-12-24_13:00:00,2021-12-24_13:50:57,F32,11,27404,27620,176,18,5,2,87,39,1,64
Line Stopped,2021-12-24_13:50:57,2021-12-24_13:58:31,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2021-12-24_13:58:31,2021-12-24_14:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2021-12-24_14:00:00,2021-12-24_14:00:07,F32,11,0,0,0,0,0,0,0,0,0,0
