State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-05-03_23:00:00,2022-05-04_00:00:00,F32,11,28569,28890,93,172,7,1,76,19,3,43
Running,2022-05-04_00:00:00,2022-05-04_01:00:00,F32,11,23917,24173,75,78,5,3,106,26,3,35
Running,2022-05-04_01:00:00,2022-05-04_02:00:00,F32,11,28590,28886,101,104,4,5,140,14,3,26
Running,2022-05-04_02:00:00,2022-05-04_03:00:00,F32,11,28594,28888,95,137,1,1,96,24,2,33
Running,2022-05-04_03:00:00,2022-05-04_04:00:00,F32,11,28563,28877,100,133,4,3,116,17,1,40
Running,2022-05-04_04:00:00,2022-05-04_05:00:00,F32,11,28575,28886,97,154,3,1,100,20,3,30
Running,2022-05-04_05:00:00,2022-05-04_06:00:00,F32,11,28373,28871,104,56,3,4,377,31,3,24
Running,2022-05-04_06:00:00,2022-05-04_07:00:00,F32,11,28257,28868,107,44,2,8,466,51,3,37
Running,2022-05-04_07:00:00,2022-05-04_08:00:00,F32,11,28110,28716,112,69,3,5,425,66,3,35
Running,2022-05-04_08:00:00,2022-05-04_08:36:23,F32,11,16582,17216,74,40,1,5,524,40,1,23
Bypassing,2022-05-04_08:36:23,2022-05-04_08:53:11,F32,11,80,90,4,0,0,0,0,10,0,0
Running,2022-05-04_08:53:11,2022-05-04_08:53:16,F32,11,1,2,0,0,0,0,1,0,0,0
Bypassing,2022-05-04_08:53:16,2022-05-04_08:53:19,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-05-04_08:53:19,2022-05-04_08:53:22,F32,11,0,14,0,0,0,0,3,11,0,0
Bypassing,2022-05-04_08:53:22,2022-05-04_08:53:48,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-05-04_08:53:48,2022-05-04_08:53:52,F32,11,0,8,0,0,0,1,1,6,0,0
Bypassing,2022-05-04_08:53:52,2022-05-04_08:54:40,F32,11,0,0,1,0,0,0,0,0,0,0
Running,2022-05-04_08:54:40,2022-05-04_08:54:44,F32,11,0,3,0,0,0,0,1,2,0,0
Bypassing,2022-05-04_08:54:44,2022-05-04_08:54:45,F32,11,0,0,0,0,0,0,0,0,0,0
