Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2022-01-07_02:39:59,2022-01-07_09:19:40,F32,11,216394,218825,1619,269,6,5,933,131,48,1039
2022-01-07_09:20:53,2022-01-10_10:20:31,F32,11,2399423,2432341,20985,3951,145,239,14874,4101,567,9041
2022-01-10_10:20:55,2022-01-10_10:25:26,F32,11,2467,2488,36,4,0,0,3,10,1,3
2022-01-10_10:25:57,2022-01-10_10:26:10,F32,11,121,121,2,0,0,0,0,0,0,0
2022-01-10_10:26:37,2022-01-10_10:28:18,F32,11,908,919,4,1,0,0,4,4,0,2
2022-01-10_10:31:10,2022-01-10_15:00:44,F32,11,148416,150074,1290,127,9,13,721,106,77,605
2022-01-10_15:10:57,2022-01-11_14:52:33,F32,11,734515,745702,6599,1130,34,44,6889,1188,255,1647
2022-01-11_14:52:57,2022-01-11_14:59:14,F32,11,0,4,0,0,0,0,0,4,0,0
2022-01-11_15:01:08,2022-01-12_09:00:53,F32,11,546699,551744,4560,427,30,44,2759,684,119,982
2022-01-12_09:25:04,2022-01-12_09:35:42,F32,11,5723,5774,29,3,0,0,24,5,0,19
2022-01-12_09:36:05,2022-01-12_09:55:30,F32,11,10353,10513,91,20,2,1,74,28,1,34
2022-01-12_09:55:52,2022-01-12_10:25:26,F32,11,15932,16086,117,21,0,1,65,16,4,47
2022-01-12_10:25:44,2022-01-12_14:15:28,F32,11,123702,125019,984,137,10,11,683,195,26,255
2022-01-13_14:49:49,2022-01-13_15:14:00,F32,11,12993,13131,117,13,2,4,62,25,4,28
2022-01-13_15:23:19,2022-01-13_15:26:28,F32,11,1698,1723,4,3,0,0,13,1,0,8
2022-01-13_15:29:06,2022-01-13_15:32:51,F32,11,2021,2040,15,2,0,2,7,3,1,4
2022-01-13_15:35:00,2022-01-13_15:39:09,F32,11,2214,2231,32,0,0,0,4,6,0,7
2022-01-13_15:43:04,2022-01-13_15:43:50,F32,11,394,399,4,0,0,0,3,1,0,1
2022-01-13_15:44:14,2022-01-13_15:46:50,F32,11,1380,1394,14,0,0,0,9,1,0,4
2022-01-14_11:22:38,2022-01-14_11:23:55,F32,11,562,636,47,0,0,1,6,2,0,65
2022-01-14_11:25:58,2022-01-14_11:53:34,F32,11,14497,14836,264,15,0,2,207,19,5,91
2022-01-14_11:53:50,2022-01-14_12:11:34,F32,11,9003,9335,116,4,1,0,253,12,4,58
2022-01-14_12:11:52,2022-01-14_12:14:22,F32,11,1320,1350,13,2,0,0,14,3,0,11
2022-01-14_12:14:40,2022-01-14_12:17:34,F32,11,1525,1553,11,0,0,0,16,2,1,9
2022-01-14_12:18:10,2022-01-14_14:47:19,F32,11,79744,81149,634,43,4,6,973,90,30,259
2022-01-14_14:48:06,2022-01-14_17:43:48,F32,11,94178,95566,781,46,3,11,884,138,33,273
2022-01-14_17:44:10,2022-01-14_18:26:19,F32,11,22567,22919,177,7,3,1,241,35,4,61
2022-01-14_18:31:28,2022-01-14_18:32:07,F32,11,311,320,4,0,0,0,7,0,1,1
2022-01-14_18:32:37,2022-01-14_21:10:02,F32,11,84358,85649,683,23,8,11,859,115,29,246
2022-01-15_09:07:18,2022-01-19_10:49:04,F32,11,2959445,3000603,25556,2899,180,190,15754,4094,688,17353
2022-01-19_10:49:29,2022-01-19_15:06:15,F32,11,0,0,0,0,0,0,0,0,0,0
2022-01-19_15:06:33,2022-01-19_16:04:49,F32,11,0,0,0,0,0,0,0,0,0,0
2022-01-19_16:05:15,2022-01-19_16:22:57,F32,11,0,0,0,0,0,0,0,0,0,0
