State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-03_05:00:00,2022-04-03_06:00:00,F32,11,25045,25894,1442,95,5,11,178,66,6,488
Running,2022-04-03_06:00:00,2022-04-03_07:00:00,F32,11,25166,25870,1532,84,3,17,245,34,0,321
Running,2022-04-03_07:00:00,2022-04-03_08:00:00,F32,11,25161,25914,1502,87,7,12,262,33,1,351
Running,2022-04-03_08:00:00,2022-04-03_09:00:00,F32,11,25197,25984,1437,87,5,19,244,91,4,337
Running,2022-04-03_09:00:00,2022-04-03_10:00:00,F32,11,25332,26032,1381,85,3,19,210,29,1,353
Running,2022-04-03_10:00:00,2022-04-03_11:00:00,F32,11,25197,25955,1415,89,7,16,245,42,2,357
Running,2022-04-03_11:00:00,2022-04-03_12:00:00,F32,11,25225,25933,1409,95,4,17,210,30,2,350
Running,2022-04-03_12:00:00,2022-04-03_13:00:00,F32,11,25381,26018,1383,73,6,19,176,27,1,335
Running,2022-04-03_13:00:00,2022-04-03_14:00:00,F32,11,25182,25876,1520,72,3,20,199,73,4,323
Running,2022-04-03_14:00:00,2022-04-03_15:00:00,F32,11,24966,25750,1610,72,2,32,253,41,2,382
Running,2022-04-03_15:00:00,2022-04-03_16:00:00,F32,11,24809,25534,1852,81,5,23,201,57,3,355
Running,2022-04-03_16:00:00,2022-04-03_17:00:00,F32,11,24838,25579,1825,65,14,25,192,107,2,336
Running,2022-04-03_17:00:00,2022-04-03_18:00:00,F32,11,24997,25756,1658,84,5,24,206,111,5,324
Running,2022-04-03_18:00:00,2022-04-03_19:00:00,F32,11,25040,25712,1701,69,6,16,208,76,3,294
Running,2022-04-03_19:00:00,2022-04-03_20:00:00,F32,11,25078,25781,1626,87,9,22,219,77,3,286
Running,2022-04-03_20:00:00,2022-04-03_21:00:00,F32,11,24988,25767,1600,96,13,17,208,57,3,385
Running,2022-04-03_21:00:00,2022-04-03_22:00:00,F32,11,24879,25753,1609,89,2,8,174,1,4,596
Running,2022-04-03_22:00:00,2022-04-03_23:00:00,F32,11,24879,25682,1643,83,9,7,155,5,4,540
Running,2022-04-03_23:00:00,2022-04-04_00:00:00,F32,11,24830,25590,1643,93,1,6,124,0,2,534
Running,2022-04-04_00:00:00,2022-04-04_01:00:00,F32,11,24045,25489,1700,89,2,16,823,17,4,493
Running,2022-04-04_01:00:00,2022-04-04_02:00:00,F32,11,24216,25527,1731,89,2,13,783,0,4,420
Running,2022-04-04_02:00:00,2022-04-04_03:00:00,F32,11,24678,25566,1780,112,9,12,357,0,4,394
Running,2022-04-04_03:00:00,2022-04-04_04:00:00,F32,11,24467,25354,1659,128,10,14,281,0,2,452
Running,2022-04-04_04:00:00,2022-04-04_05:00:00,F32,11,24656,25456,1639,114,10,16,175,0,4,481
Running,2022-04-04_05:00:00,2022-04-04_06:00:00,F32,11,24601,25415,1632,111,10,5,146,0,5,537
Running,2022-04-04_06:00:00,2022-04-04_07:00:00,F32,11,24767,25581,1680,156,7,9,138,0,8,496
Running,2022-04-04_07:00:00,2022-04-04_08:00:00,F32,11,24820,25653,1577,125,10,8,145,3,3,539
Running,2022-04-04_08:00:00,2022-04-04_09:00:00,F32,11,24961,25785,1613,112,5,9,129,77,2,490
Running,2022-04-04_09:00:00,2022-04-04_09:43:47,F32,11,18107,18715,1222,85,0,7,105,45,3,363
Running,2022-04-04_09:44:20,2022-04-04_10:00:00,F32,11,6368,6659,486,18,2,0,37,1,0,233
Running,2022-04-04_10:00:00,2022-04-04_10:15:07,F32,11,6236,6498,370,34,5,2,47,10,0,164
Running,2022-04-04_10:22:21,2022-04-04_10:33:09,F32,11,4433,4651,244,11,6,3,26,8,1,163
Running,2022-04-04_10:36:38,2022-04-04_11:00:00,F32,11,9548,9876,680,38,3,5,75,12,0,195
Running,2022-04-04_11:00:00,2022-04-04_12:00:00,F32,11,24935,25783,1636,96,7,3,169,104,5,464
Running,2022-04-04_12:00:00,2022-04-04_13:00:00,F32,11,24912,25714,1711,113,9,5,176,62,6,431
Running,2022-04-04_13:00:00,2022-04-04_14:00:00,F32,11,25631,26405,1019,112,3,4,126,41,2,486
